Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
79,5.0,3.3,1.4,0.2,Iris-setosa
80,6.3,2.5,5.0,1.9,Iris-virginica
81,5.1,3.7,1.5,0.4,Iris-setosa
82,5.8,2.7,5.1,1.9,Iris-virginica
83,5.5,2.4,3.7,1.0,Iris-versicolor
84,5.2,2.7,3.9,1.4,Iris-versicolor
85,5.9,3.0,4.2,1.5,Iris-versicolor
86,5.4,3.9,1.7,0.4,Iris-setosa
87,6.4,3.2,5.3,2.3,Iris-virginica
88,5.5,2.3,4.0,1.3,Iris-versicolor
89,4.9,3.1,1.5,0.1,Iris-setosa
90,4.9,2.5,4.5,1.7,Iris-virginica
91,4.6,3.4,1.4,0.3,Iris-setosa
92,6.1,2.6,5.6,1.4,Iris-virginica
93,6.3,3.3,4.7,1.6,Iris-versicolor
94,4.7,3.2,1.3,0.2,Iris-setosa
95,7.7,3.8,6.7,2.2,Iris-virginica
96,6.1,2.9,4.7,1.4,Iris-versicolor
97,6.3,3.3,6.0,2.5,Iris-virginica
98,5.6,2.9,3.6,1.3,Iris-versicolor
99,5.4,3.4,1.5,0.4,Iris-setosa
100,5.3,3.7,1.5,0.2,Iris-setosa
101,5.0,3.4,1.6,0.4,Iris-setosa
102,4.4,2.9,1.4,0.2,Iris-setosa
103,4.4,3.2,1.3,0.2,Iris-setosa
104,6.2,2.8,4.8,1.8,Iris-virginica
105,5.7,3.0,4.2,1.2,Iris-versicolor
106,6.3,2.3,4.4,1.3,Iris-versicolor
107,6.0,2.2,4.0,1.0,Iris-versicolor
108,6.2,2.9,4.3,1.3,Iris-versicolor
109,6.3,2.5,4.9,1.5,Iris-versicolor
110,5.7,2.9,4.2,1.3,Iris-versicolor
111,7.6,3.0,6.6,2.1,Iris-virginica
112,5.4,3.9,1.3,0.4,Iris-setosa
113,5.9,3.2,4.8,1.8,Iris-versicolor
114,5.4,3.4,1.7,0.2,Iris-setosa
115,5.0,3.5,1.6,0.6,Iris-setosa
116,7.3,2.9,6.3,1.8,Iris-virginica
117,6.3,2.9,5.6,1.8,Iris-virginica
118,6.7,3.0,5.0,1.7,Iris-versicolor
119,6.5,3.0,5.8,2.2,Iris-virginica
